id,title,subTitle,authorsid1,authorsid2,authorsid3,publisher,publishedDate,description,volumeInfo__pageCount,categories,averageRating,ratingsCount,smallThumbnail,bigThumbnail,language,volumeInfo__previewLink,volumeInfo__infoLink,volumeInfo__canonicalVolumeLink,saleInfo__isEbook,accessInfo__webReaderLink,price
11,The Opposite of Murder,,10,,,Hodder & Stoughton,2025,"Jemma Stelling has confessed to a murder. She is the police's lead suspect. She couldn't have committed the crime. She has an unshakeable alibi: at the time of Marianne Cass's brutal murder, Jemma was at the police station, confessing to a murderous obsession with Marianne.",0,Fiction,0,0,http://books.google.com/books/content?id=z4nWzwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=z4nWzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=z4nWzwEACAAJ&dq=subject:Thriller&hl=&cd=1&source=gbs_api,http://books.google.com.lb/books?id=z4nWzwEACAAJ&dq=subject:Thriller&hl=&source=gbs_api,https://books.google.com/books/about/The_Opposite_of_Murder.html?hl=&id=z4nWzwEACAAJ,FALSE,http://play.google.com/books/reader?id=z4nWzwEACAAJ&hl=&source=gbs_api,30
12,Clawback,An Ali Reynolds Novel,11,,,Simon and Schuster,2016,"In New York Times bestselling author J.A. Jance’s latest thriller, Ali Reynolds faces her most controversial mystery yet, solving the murder of a man whose Ponzi scheme bankrupted hundreds of people, and left them seeking justice…or revenge. When Ali’s parents lose their life savings to a Ponzi scheme, her father goes to confront his long-time friend and financial advisor, only to stumble into the scene of a bloody double homicide. With her father suddenly a prime suspect, Ali and her husband work to clear her father’s name, while at the same time seeking justice for her parents as well as the scheme’s other suddenly impoverished victims, one of whom is a stone cold killer.",336,Fiction,0,0,http://books.google.com/books/content?id=cdyoCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=cdyoCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=cdyoCwAAQBAJ&printsec=frontcover&dq=subject:Thriller&hl=&cd=2&source=gbs_api,http://books.google.com.lb/books?id=cdyoCwAAQBAJ&dq=subject:Thriller&hl=&source=gbs_api,https://books.google.com/books/about/Clawback.html?hl=&id=cdyoCwAAQBAJ,FALSE,http://play.google.com/books/reader?id=cdyoCwAAQBAJ&hl=&source=gbs_api,34
13,The Silence that Speaks,,12,,,MIRA,2015,"Former Navy SEAL Marc Deveraux teams up with Forensic Instincts to protect the life of nurse and former flame Madeline Westfield, whose would-be killer blames her for the death of a hospital administrator.",362,Fiction,0,0,http://books.google.com/books/content?id=kMsPCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=kMsPCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=kMsPCwAAQBAJ&printsec=frontcover&dq=subject:Thriller&hl=&cd=3&source=gbs_api,http://books.google.com.lb/books?id=kMsPCwAAQBAJ&dq=subject:Thriller&hl=&source=gbs_api,https://books.google.com/books/about/The_Silence_that_Speaks.html?hl=&id=kMsPCwAAQBAJ,FALSE,http://play.google.com/books/reader?id=kMsPCwAAQBAJ&hl=&source=gbs_api,47
14,Cimarron Rose,,13,,,Simon and Schuster,2014,"""Lucas Smothers, nineteen and from the wrong end of town, has been arrested for the rape and murder of a local girl. His lawyer, former Texas Ranger Billy Bob Holland, is convinced of Lucas's innocence--but proving it means unearthing the truth from the seething mass of deceit and corruption that spreads like wildfire in a gossipy small town where everybody knows everybody else's business""--Amazon.com.",416,Fiction,0,0,http://books.google.com/books/content?id=2gKZBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=2gKZBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=2gKZBAAAQBAJ&printsec=frontcover&dq=subject:Thriller&hl=&cd=4&source=gbs_api,http://books.google.com.lb/books?id=2gKZBAAAQBAJ&dq=subject:Thriller&hl=&source=gbs_api,https://books.google.com/books/about/Cimarron_Rose.html?hl=&id=2gKZBAAAQBAJ,FALSE,http://play.google.com/books/reader?id=2gKZBAAAQBAJ&hl=&source=gbs_api,27
15,Murder by Manuscript,,14,,,Wakefield Press,2012,All internationally renowned 'lady showbiz detective' Stella Pentangeli wants is to solve a simple literary riddle: did Shakespeare belong to a 17th-century cult which resurrected people? All brilliant Investigator Ng wants is to find out why a monster is using Shakespeare's recipe to make 'resurrection soup' out of 21st Century citizens.,248,Fiction,0,0,http://books.google.com/books/content?id=WqiFom247XUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=WqiFom247XUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=WqiFom247XUC&printsec=frontcover&dq=subject:Thriller&hl=&cd=5&source=gbs_api,http://books.google.com.lb/books?id=WqiFom247XUC&dq=subject:Thriller&hl=&source=gbs_api,https://books.google.com/books/about/Murder_by_Manuscript.html?hl=&id=WqiFom247XUC,FALSE,http://play.google.com/books/reader?id=WqiFom247XUC&hl=&source=gbs_api,29
16,You Are a Global Citizen,A Guided Journal for the Culturally Curious,15,,,Teach Yourself,2024,"Who are you? Why are you, you? What kind of person do you want to be? You Are A Global Citizen challenges us to take a deeper look at our role as global citizens, from the armchair traveller to the frequent flyer and everyone in between, providing a springboard for us to understand the world and other cultures by first understanding ourselves. This uniquely accessible guided journal ignites your inner curiosity and encourages self-discovery through thought-provoking questions about the cultures you have experienced - including your own - all while helping you become a more inquisitive, aware, observant, and engaged world citizen. Whether you've never left home, are studying at university, looking to live and move abroad, or simply eager to explore your own identity within a global society, You Are A Global Citizen will help you understand how the outside world impacts what's going on inside your mind, and vice versa. In three sections covering your origins, your internal environment and your external environment, with space for reflection at the beginning and end, Damon Dominique, pioneer of the modern day social media travel scene and star of countless popular You Tube travel vlogs and documentaries, shares his insights and stories from a decade of globetrotting, guiding you through questions such as, 'Would you be happy if you knew you had to live in your hometown for the rest of your life?', 'What culture or country do you remember romanticizing about as a kid?', and 'How do you feel about a global language?', with the ultimate goal of encouraging you to consider the fundamental questions about who you are, what culture is and what it means to live in a global society, beyond the borders of our minds and countries.",0,Literary Collections,0,0,http://books.google.com/books/content?id=ANJg0AEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=ANJg0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=ANJg0AEACAAJ&dq=subject:Travel&hl=&cd=1&source=gbs_api,http://books.google.com.lb/books?id=ANJg0AEACAAJ&dq=subject:Travel&hl=&source=gbs_api,https://books.google.com/books/about/You_Are_a_Global_Citizen.html?hl=&id=ANJg0AEACAAJ,FALSE,http://play.google.com/books/reader?id=ANJg0AEACAAJ&hl=&source=gbs_api,44
17,Immersion,A Linguist's Memoir,16,,,Simon and Schuster,2024,"Fans of the self-discovering journeys in Cheryl Strayed’s Wild and Andrew McCarthy’s The Longest Way Home will love diving into linguist Linda Murphy Marshall’s adventure-filled international journey as she overcomes her past to find her place in the world—all over the world. Immersion is a memoir that takes the reader on a captivating emotional and physical journey through Linda Murphy Marshall’s life: from the longstanding, crippling impact of family members’ low expectations and abuse, to her discovery as a young adult that she possesses special skills in foreign languages. Linda is taught from an early age that she has little of value to offer the world. But her love of and affinity for languages enables her to create a new life—to separate herself from her toxic environment and to build a successful, decades-long career as a professional multilinguist. It’s a rewarding vocation, but a challenging one: her assignments with the US federal government take her on some hair-raisingly dangerous journeys, some to countries with unstable governments and even active war zones. But these sometimes-harrowing experiences teach her how to open the “windows” around her, unearth her true self, and develop a healthy sense of self-worth—and ultimately, paradoxically, her work and travel so far from home allow her to come home to herself.",178,Family & Relationships,0,0,http://books.google.com/books/content?id=1CYGEQAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=1CYGEQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com.lb/books?id=1CYGEQAAQBAJ&dq=subject:Travel&hl=&cd=2&source=gbs_api,http://books.google.com.lb/books?id=1CYGEQAAQBAJ&dq=subject:Travel&hl=&source=gbs_api,https://books.google.com/books/about/Immersion.html?hl=&id=1CYGEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=1CYGEQAAQBAJ&hl=&source=gbs_api,50
18,Undiscovered Queensland,A Local's Guide to Finding Adventure,17,,,Hardie Grant Publishing,2024,"Undiscovered Queensland is a picturesque guide to the hidden secrets of the Sunshine State, curated by travel and lifestyle writer and photographer James Vodicka who, as a Whitsunday local, will introduce you to all the under-the-radar getaway spots from each corner of the vast state. Covering all the main regions of Queensland, from Far North to Outback, the world-famous islands and the populous south-east, the guide helps visitors skip the commercialised theme-parks and over-crowded beaches and discover the places locals love. Get a feel for what makes each region special and take the time to slow down and appreciate everything the state has to offer, whether it's acquainting yourself with character-filled towns, immersing yourself in arresting natural landscapes, coming face-to-snout with wildlife or attending wholly unique festivals. There's a whole chapter on the best offshore, coastal and freshwater swimming spots, as well as advice on what delectable produce you can find and where. Featuring beautiful photography, handy maps and filled with a wealth of insider information on where to stay, what to do and how to travel, as well as recommendations for food, fun and festivals, let this guide help you uncover the best of Queensland.",231,Travel,0,0,http://books.google.com/books/content?id=KRsLEQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=KRsLEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=KRsLEQAAQBAJ&printsec=frontcover&dq=subject:Travel&hl=&cd=3&source=gbs_api,http://books.google.com.lb/books?id=KRsLEQAAQBAJ&dq=subject:Travel&hl=&source=gbs_api,https://books.google.com/books/about/Undiscovered_Queensland.html?hl=&id=KRsLEQAAQBAJ,FALSE,http://play.google.com/books/reader?id=KRsLEQAAQBAJ&hl=&source=gbs_api,44
19,The Heart of the Woods,,18,,,Aurum Press,2024,"The Heart of the Woods blends crafted narrative with stunning nature photography. An eye-opening study of trees, humankind, and the natural world.",338,Biography & Autobiography,0,0,http://books.google.com/books/content?id=5x_dEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=5x_dEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=5x_dEAAAQBAJ&printsec=frontcover&dq=subject:Travel&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=5x_dEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=5x_dEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=5x_dEAAAQBAJ&hl=&source=gbs_api,32
20,A Sea Full of Turtles,The Search for Optimism in an Epoch of Extinction,19,,,Simon and Schuster,2024,"An inspired and impassioned story of adventure that explores the richness of marine life and charts a path of resilience and hope. Everyone alive today is witnessing a mass extinction event caused by the more than eight billion humans who share this planet. At times, it seems there is little hope. Climate change, resource exploitation, agrochemicals, overfishing, plastics, dead zones in our oceans, drought and desertification, conversion of habitat to housing, farming, and industrial infrastructure—the list of impacts and insults goes on and on. We are, it seems, on an unalterable path that will continue to decimate biodiversity. A feeling of hopeless, while not unwarranted, is part of the problem. Without hope, without some belief in the possibility of positive outcomes, the fight for nature is over. Why even try if the battle is already lost? While staring the problems squarely in the face, A Sea Full of Turtles offers hope for those who care about our living world. Delivered as a travel narrative set in Mexico’s Gulf of California (Sea of Cortez), at one level the book focuses on dramatically underfunded but highly successful efforts to protect sea turtles. But the book goes beyond Mexico and beyond sea turtles to look at how some humans have changed their relationship with nature—and how that change can one day end the extinction crisis. Enchanting, galvanizing, and brimming with joy and wonder, A Sea Full of Turtles will inspire immediate action to face the great challenges that lie ahead. Pessimism is the lazy way out. Optimism, it turns out, is both a reasonable and an essential attitude for us all as we fight for the beautiful diversity of life on our Earth.",200,Nature,0,0,http://books.google.com/books/content?id=DxndEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=DxndEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com.lb/books?id=DxndEAAAQBAJ&printsec=frontcover&dq=subject:Travel&hl=&cd=5&source=gbs_api,https://play.google.com/store/books/details?id=DxndEAAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=DxndEAAAQBAJ,TRUE,http://play.google.com/books/reader?id=DxndEAAAQBAJ&hl=&source=gbs_api,27
