id,Author,Gender,Yearbirth,Description
84,Chris Hauty,M,1960,Screenwriter and author known for his political thrillers.
85,Jonathan Hedrick,M,1985,Comic book writer known for his work in the horror genre.
86,Bella Rayne,F,1995,Author of young adult and fantasy novels.
87,Stuart Gibbs,M,1969,Author known for his children's mystery and adventure books.
88,Daniel Jütte,M,1983,Historian and author specializing in early modern Europe.
89,Nicholas Hazel,M,1980,Writer and consultant focusing on technology and business.
90,Michael Craig Rhodes,M,1970,Author and filmmaker known for his work in documentary films.
91,Andrew Clements,M,1949,"American author of children's literature, known for his novel ""Frindle""."
92,R. A. Brown,M,1985,Author and academic focusing on linguistics and historical languages.
93,A.F. Steadman,F,1990,British author known for her fantasy novels for young readers.
94,Roan Black,M,1990,Science fiction author focusing on dystopian futures.
95,Lauren Roberts,F,1987,Author and editor specializing in contemporary romance.
96,Jordan Quinn,M,1979,Children's book author known for fantasy and adventure series.
97,Karen Strong,F,1985,Author of middle-grade fiction focusing on Southern folklore.
98,Dan Abdo,M,1980,Animator and author known for graphic novels and children's books.
99,Ben Costa,M,1985,Comic book writer and illustrator known for historical adventure series.
100,J. Elle,F,1986,Author known for her young adult fantasy novels.
101,Moses Ose Utomi,M,1990,Author of speculative fiction and fantasy.
102,Amanda Foody,F,1992,Young adult fantasy author known for her dark and whimsical worlds.
103,Kathy Lopez,F,1970,Author and academic focusing on Latino studies and immigration.
104,Traci Postings,F,1980,Author and therapist focusing on mental health and well-being.
105,Edmund Ghareeb,M,1942,Scholar and author focusing on Middle Eastern studies.
106,Alex Bleeker,M,1986,Musician and author known for his work in indie rock.
107,Nathan Fox,M,1980,Comic book artist and author known for his dynamic illustration style.
108,Timothy Revell,M,1985,Science journalist and author focusing on mathematics and computing.
109,Ovishek Morshed,M,1990,Author and researcher in the field of biomedical engineering.
110,David J. Perreault,M,1975,Electrical engineer and author known for his work on power electronics.
111,Moses Schanfield,M,1950,Geneticist and author specializing in forensic science.
112,João Rafael da Costa Sanches Galvão,M,1985,Researcher and author in the field of environmental science.
113,Bonnie McClellan-Broussard,F,1970,Author and educator specializing in communication studies.
114,Min-Hwa Chi,F,1980,Author and researcher in the field of biotechnology.
115,Bell Helen,F,1990,Author known for her works in speculative fiction and fantasy.
116,Jarrod Shusterman,M,1988,Young adult author known for his dystopian novels.
117,Fernando Nascimento,M,1985,Brazilian author known for his contemporary fiction.
118,Jude Browne,F,1970,Sociologist and author specializing in gender studies.
119,Elizabeth Dias,F,1980,Journalist and author focusing on religion and American culture.
120,Ebony Reed,F,1985,Journalist and author focusing on media and technology.
121,Jason Patterson,M,1970,"Author and motivational speaker, known for his work on leadership."
122,James Parks,M,1985,Writer and filmmaker known for his work in horror and science fiction.
123,Barry Kopp,M,1970,Author and educator specializing in law and criminal justice.
124,Todd Krauss,M,1967,Physicist and author focusing on nanotechnology.
125,George C. Verghese,M,1950,"Electrical engineer and author, known for his work on systems and control theory."
126,Pedro Monteiro,M,1985,Portuguese author and translator focusing on literature and philosophy.
127,Jesse Jen-Chung Lou,M,1970,Author and educator focusing on mathematics and education.
128,Stephen Cave,M,1971,Philosopher and author known for his work on immortality and human nature.
129,Dan & Jason,M,1980,Duo of graphic novelists known for their humorous and action-packed storie
